# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity of second tau
XLabel=$\eta(\tau\mathrm{2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\eta(\tau\mathrm{2})$ [pb]
LegendYPos=0.5
LegendXPos=0.30
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	1.005030e-05	7.106636e-06	7.106636e-06
-2.800000e+00	-2.600000e+00	1.507545e-05	8.703815e-06	8.703815e-06
-2.600000e+00	-2.400000e+00	2.512575e-05	1.123658e-05	1.123658e-05
-2.400000e+00	-2.200000e+00	5.025150e-05	1.589092e-05	1.589092e-05
-2.200000e+00	-2.000000e+00	5.527665e-05	1.666654e-05	1.666654e-05
-2.000000e+00	-1.800000e+00	5.527665e-05	1.666654e-05	1.666654e-05
-1.800000e+00	-1.600000e+00	8.542755e-05	2.071922e-05	2.071922e-05
-1.600000e+00	-1.400000e+00	8.542755e-05	2.071922e-05	2.071922e-05
-1.400000e+00	-1.200000e+00	7.035210e-05	1.880239e-05	1.880239e-05
-1.200000e+00	-1.000000e+00	1.407042e-04	2.659060e-05	2.659060e-05
-1.000000e+00	-8.000000e-01	1.005030e-04	2.247316e-05	2.247316e-05
-8.000000e-01	-6.000000e-01	1.356790e-04	2.611144e-05	2.611144e-05
-6.000000e-01	-4.000000e-01	1.206036e-04	2.461811e-05	2.461811e-05
-4.000000e-01	-2.000000e-01	1.457293e-04	2.706126e-05	2.706126e-05
-2.000000e-01	0.000000e+00	1.306539e-04	2.562334e-05	2.562334e-05
0.000000e+00	2.000000e-01	1.306539e-04	2.562334e-05	2.562334e-05
2.000000e-01	4.000000e-01	1.959808e-04	3.138205e-05	3.138205e-05
4.000000e-01	6.000000e-01	1.708551e-04	2.930141e-05	2.930141e-05
6.000000e-01	8.000000e-01	1.206036e-04	2.461811e-05	2.461811e-05
8.000000e-01	1.000000e+00	1.105533e-04	2.357004e-05	2.357004e-05
1.000000e+00	1.200000e+00	1.055282e-04	2.302813e-05	2.302813e-05
1.200000e+00	1.400000e+00	9.045270e-05	2.131991e-05	2.131991e-05
1.400000e+00	1.600000e+00	1.005030e-04	2.247316e-05	2.247316e-05
1.600000e+00	1.800000e+00	7.035210e-05	1.880239e-05	1.880239e-05
1.800000e+00	2.000000e+00	1.055282e-04	2.302813e-05	2.302813e-05
2.000000e+00	2.200000e+00	5.527665e-05	1.666654e-05	1.666654e-05
2.200000e+00	2.400000e+00	4.020120e-05	1.421327e-05	1.421327e-05
2.400000e+00	2.600000e+00	7.035210e-05	1.880239e-05	1.880239e-05
2.600000e+00	2.800000e+00	5.025150e-05	1.589092e-05	1.589092e-05
2.800000e+00	3.000000e+00	2.512575e-05	1.123658e-05	1.123658e-05
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_TAUS:ENERGY=13000/tau_eta_2
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	9.967200e-06	7.047876e-06	7.047876e-06
-2.800000e+00	-2.600000e+00	3.488520e-05	1.318537e-05	1.318537e-05
-2.600000e+00	-2.400000e+00	4.485240e-05	1.495080e-05	1.495080e-05
-2.400000e+00	-2.200000e+00	3.986880e-05	1.409575e-05	1.409575e-05
-2.200000e+00	-2.000000e+00	4.485240e-05	1.495080e-05	1.495080e-05
-2.000000e+00	-1.800000e+00	7.475400e-05	1.930140e-05	1.930140e-05
-1.800000e+00	-1.600000e+00	5.980320e-05	1.726370e-05	1.726370e-05
-1.600000e+00	-1.400000e+00	1.046556e-04	2.283773e-05	2.283773e-05
-1.400000e+00	-1.200000e+00	8.472120e-05	2.054791e-05	2.054791e-05
-1.200000e+00	-1.000000e+00	1.046556e-04	2.283773e-05	2.283773e-05
-1.000000e+00	-8.000000e-01	1.046556e-04	2.283773e-05	2.283773e-05
-8.000000e-01	-6.000000e-01	1.594752e-04	2.819150e-05	2.819150e-05
-6.000000e-01	-4.000000e-01	1.146228e-04	2.390051e-05	2.390051e-05
-4.000000e-01	-2.000000e-01	1.544916e-04	2.774751e-05	2.774751e-05
-2.000000e-01	0.000000e+00	1.196064e-04	2.441456e-05	2.441456e-05
0.000000e+00	2.000000e-01	1.445244e-04	2.683751e-05	2.683751e-05
2.000000e-01	4.000000e-01	1.245900e-04	2.491800e-05	2.491800e-05
4.000000e-01	6.000000e-01	1.544916e-04	2.774751e-05	2.774751e-05
6.000000e-01	8.000000e-01	1.744260e-04	2.948338e-05	2.948338e-05
8.000000e-01	1.000000e+00	1.245900e-04	2.491800e-05	2.491800e-05
1.000000e+00	1.200000e+00	1.096392e-04	2.337516e-05	2.337516e-05
1.200000e+00	1.400000e+00	1.345572e-04	2.589554e-05	2.589554e-05
1.400000e+00	1.600000e+00	6.977040e-05	1.864692e-05	1.864692e-05
1.600000e+00	1.800000e+00	7.973760e-05	1.993440e-05	1.993440e-05
1.800000e+00	2.000000e+00	7.973760e-05	1.993440e-05	1.993440e-05
2.000000e+00	2.200000e+00	4.983600e-05	1.575953e-05	1.575953e-05
2.200000e+00	2.400000e+00	4.983600e-05	1.575953e-05	1.575953e-05
2.400000e+00	2.600000e+00	2.990160e-05	1.220728e-05	1.220728e-05
2.600000e+00	2.800000e+00	3.986880e-05	1.409575e-05	1.409575e-05
2.800000e+00	3.000000e+00	2.491800e-05	1.114367e-05	1.114367e-05
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

